ID,ParallelSessions_WhichDaysAtTheConferenceWillYouBeAttending,ParallelSessions_FirstChoice,ParallelSessions_SecondChoice,ParallelSessions_ThirdChoice,ParallelSessions_FourthChoice,ParallelSessions_FifthChoice,ParallelSessions_FirstChoice2,ParallelSessions_SecondChoice2,ParallelSessions_ThirdChoice2,ParallelSessions_FourthChoice2,ParallelSessions_FifthChoice2,ParallelSessions_FirstChoice3,ParallelSessions_SecondChoice3,ParallelSessions_ThirdChoice3,ParallelSessions_FourthChoice3,ParallelSessions_FifthChoice3,ParallelSessions_FirstChoice4,ParallelSessions_SecondChoice4,ParallelSessions_ThirdChoice4,ParallelSessions_FourthChoice4,ParallelSessions_FifthChoice4,ParallelSessions_FirstChoice5,ParallelSessions_SecondChoice5,ParallelSessions_ThirdChoice5,ParallelSessions_FourthChoice5,ParallelSessions_FifthChoice5,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
272,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.5,Session 1.2,Session 1.4,Session 2.4,Session 2.1,Session 2.5,Session 2.2,Session 2.3,Session 3.2,Session 3.1,Session 3.5,Session 3.4,Session 3.2,No preference,No preference,No preference,No preference,No preference,Session 5.1,Session 5.5,Session 5.3,Session 5.4,Session 5.2,30/07/2019 15:19,30/07/2019 15:19,30/07/2019 15:19
273,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.5,No preference,No preference,No preference,Session 2.1,Session 2.4,No preference,No preference,No preference,Session 3.1,Session 3.3,Session 3.5,No preference,No preference,Session 4.3,Session 4.4,No preference,No preference,No preference,Session 5.1,Session 5.3,Session 5.2,No preference,No preference,30/07/2019 15:18,30/07/2019 15:18,30/07/2019 15:18
274,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.5,No preference,No preference,No preference,Session 2.4,Session 2.1,No preference,No preference,No preference,Session 3.1,Session 3.5,Session 3.2,No preference,No preference,Session 4.2,Session 4.4,No preference,No preference,No preference,Session 5.1,Session 5.2,No preference,No preference,No preference,30/07/2019 15:16,30/07/2019 15:16,30/07/2019 15:16
275,"Tuesday 1st October, Wednesday 2nd October",No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,30/07/2019 14:53,30/07/2019 14:53,30/07/2019 14:53
276,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.5,Session 1.4,Session 1.2,Session 2.4,Session 2.5,Session 2.2,Session 2.3,Session 2.1,Session 3.4,Session 3.3,Session 3.2,Session 3.5,Session 3.1,Session 4.5,Session 4.3,Session 4.4,Session 4.1,Session 4.2,Session 5.1,Session 5.2,Session 5.4,Session 5.5,Session 5.3,30/07/2019 12:32,30/07/2019 12:32,30/07/2019 12:32
277,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.5,Session 1.2,Session 1.4,Session 1.1,Session 2.4,Session 2.2,Session 2.5,Session 2.1,Session 2.3,Session 3.4,Session 3.5,No preference,No preference,No preference,Session 4.5,No preference,No preference,No preference,No preference,Session 5.2,Session 5.3,No preference,No preference,No preference,30/07/2019 12:22,30/07/2019 12:22,30/07/2019 12:22
278,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.1,Session 1.5,Session 1.3,Session 1.4,Session 2.1,Session 2.3,Session 2.4,Session 2.2,Session 2.5,Session 3.1,Session 3.2,Session 3.4,Session 3.5,Session 3.3,Session 4.2,Session 4.3,Session 4.4,Session 4.5,Session 4.1,Session 5.1,Session 5.2,Session 5.3,Session 5.4,Session 5.5,30/07/2019 12:15,30/07/2019 12:15,30/07/2019 12:15
279,"Tuesday 1st October, Wednesday 2nd October",No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,Session 3.3,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,Session 5.1,No preference,No preference,No preference,No preference,30/07/2019 11:52,30/07/2019 11:52,30/07/2019 11:52
280,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.5,Session 1.3,Session 1.4,Session 1.2,Session 2.5,Session 2.4,Session 2.1,Session 2.2,Session 2.3,Session 3.4,Session 3.2,Session 3.3,Session 3.5,Session 3.1,Session 4.3,Session 4.1,Session 4.2,Session 4.4,Session 4.5,Session 5.1,Session 5.2,Session 5.5,Session 5.4,Session 5.3,30/07/2019 11:41,30/07/2019 11:41,30/07/2019 11:41
281,"Tuesday 1st October, Wednesday 2nd October",No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,30/07/2019 10:53,30/07/2019 10:53,30/07/2019 11:04
