ID,ParallelSessions_WhichDaysAtTheConferenceWillYouBeAttending,ParallelSessions_FirstChoice,ParallelSessions_SecondChoice,ParallelSessions_ThirdChoice,ParallelSessions_FourthChoice,ParallelSessions_FifthChoice,ParallelSessions_FirstChoice2,ParallelSessions_SecondChoice2,ParallelSessions_ThirdChoice2,ParallelSessions_FourthChoice2,ParallelSessions_FifthChoice2,ParallelSessions_FirstChoice3,ParallelSessions_SecondChoice3,ParallelSessions_ThirdChoice3,ParallelSessions_FourthChoice3,ParallelSessions_FifthChoice3,ParallelSessions_FirstChoice4,ParallelSessions_SecondChoice4,ParallelSessions_ThirdChoice4,ParallelSessions_FourthChoice4,ParallelSessions_FifthChoice4,ParallelSessions_FirstChoice5,ParallelSessions_SecondChoice5,ParallelSessions_ThirdChoice5,ParallelSessions_FourthChoice5,ParallelSessions_FifthChoice5,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
189,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.5,Session 1.2,Session 2.5,Session 2.4,Session 2.2,Session 2.3,Session 2.1,Session 3.5,Session 3.2,Session 3.1,Session 3.3,Session 3.4,Session 4.3,Session 4.4,Session 4.2,Session 4.1,Session 4.5,Session 5.1,Session 5.2,Session 5.5,Session 5.4,Session 5.3,30/07/2019 19:55,30/07/2019 19:55,30/07/2019 19:55
190,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.3,Session 1.4,Session 1.5,Session 2.1,Session 2.2,No preference,No preference,No preference,Session 3.3,Session 3.1,Session 3.2,No preference,No preference,Session 4.3,Session 4.2,Session 4.4,No preference,No preference,Session 5.2,No preference,No preference,No preference,No preference,30/07/2019 18:54,30/07/2019 18:54,30/07/2019 18:54
191,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.3,No preference,No preference,Session 2.5,Session 2.2,No preference,No preference,No preference,Session 3.5,Session 3.1,No preference,No preference,No preference,Session 4.4,Session 4.2,No preference,No preference,No preference,Session 5.3,No preference,No preference,No preference,No preference,30/07/2019 18:34,30/07/2019 18:34,30/07/2019 18:34
192,"Tuesday 1st October, Wednesday 2nd October",Session 1.4,Session 1.3,Session 1.1,Session 1.2,Session 1.5,Session 2.1,Session 2.5,Session 2.3,Session 2.4,Session 2.2,Session 3.1,Session 3.4,Session 3.3,Session 3.5,Session 3.3,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 5.4,Session 5.3,Session 5.5,Session 5.2,Session 5.1,30/07/2019 18:28,30/07/2019 18:28,30/07/2019 18:28
193,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.4,No preference,No preference,No preference,Session 2.5,Session 2.3,Session 2.2,Session 2.1,Session 2.4,Session 3.5,No preference,No preference,No preference,No preference,Session 4.2,Session 4.4,Session 4.3,Session 4.1,Session 4.5,Session 5.5,Session 5.3,Session 5.2,No preference,No preference,30/07/2019 18:03,30/07/2019 18:03,30/07/2019 18:03
194,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.1,Session 1.4,Session 1.3,Session 1.2,Session 2.4,Session 2.5,Session 2.2,Session 2.3,Session 2.1,Session 3.5,Session 3.3,Session 3.4,Session 3.2,Session 3.1,Session 4.1,Session 4.4,Session 4.5,Session 4.3,Session 4.2,Session 5.2,Session 5.1,Session 5.4,Session 5.5,Session 5.3,30/07/2019 17:57,30/07/2019 17:57,30/07/2019 17:57
195,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.1,Session 1.3,Session 1.2,Session 1.4,Session 2.5,Session 2.4,Session 2.3,Session 2.3,Session 2.1,Session 3.3,Session 3.1,Session 3.4,Session 3.2,Session 3.5,Session 4.2,Session 4.3,Session 4.1,Session 4.4,Session 4.5,Session 5.5,Session 5.4,Session 5.3,Session 5.2,Session 5.1,30/07/2019 17:49,30/07/2019 17:49,30/07/2019 17:49
196,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.5,Session 1.4,No preference,Session 2.5,Session 2.4,No preference,No preference,No preference,Session 3.2,Session 3.3,Session 3.4,No preference,No preference,Session 4.3,Session 4.5,No preference,No preference,No preference,Session 5.1,Session 5.4,No preference,No preference,No preference,30/07/2019 17:44,30/07/2019 17:44,30/07/2019 17:44
197,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.3,Session 1.4,Session 1.5,Session 2.5,Session 2.2,Session 2.1,Session 2.5,Session 2.4,Session 3.5,Session 3.3,Session 3.2,Session 3.4,Session 3.1,Session 4.4,Session 4.3,Session 4.1,Session 4.5,Session 4.2,Session 5.3,Session 5.5,Session 5.4,Session 5.2,Session 5.1,30/07/2019 17:34,30/07/2019 17:34,30/07/2019 17:34
198,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,No preference,No preference,No preference,No preference,Session 2.1,Session 2.5,No preference,No preference,No preference,Session 3.5,Session 3.2,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,Session 5.5,Session 5.3,No preference,No preference,No preference,30/07/2019 17:24,30/07/2019 17:24,30/07/2019 17:24
199,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.4,Session 1.5,Session 1.2,Session 1.1,Session 2.4,Session 2.5,Session 2.2,Session 2.1,Session 2.3,Session 3.5,Session 3.1,Session 3.3,Session 3.2,Session 3.4,Session 4.5,Session 4.3,Session 4.4,Session 4.1,Session 4.2,Session 5.3,Session 5.2,Session 5.5,Session 5.4,Session 5.1,30/07/2019 17:24,30/07/2019 17:24,30/07/2019 17:24
200,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.3,Session 1.2,Session 1.1,Session 1.4,Session 2.5,Session 2.1,Session 2.4,Session 2.3,Session 2.2,Session 3.4,Session 3.3,Session 3.2,Session 3.1,Session 3.5,Session 4.2,Session 4.5,Session 4.3,Session 4.1,Session 4.4,Session 5.5,Session 5.3,Session 5.2,Session 5.1,Session 5.4,30/07/2019 17:19,30/07/2019 17:19,30/07/2019 17:19
201,"Tuesday 1st October, Wednesday 2nd October",Session 1.4,Session 1.2,Session 1.1,No preference,No preference,Session 2.3,Session 2.2,No preference,No preference,No preference,Session 3.2,No preference,No preference,No preference,No preference,Session 4.4,Session 4.5,No preference,No preference,No preference,Session 5.4,Session 5.2,Session 5.1,No preference,No preference,30/07/2019 16:54,30/07/2019 16:54,30/07/2019 16:54
202,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.1,Session 1.4,Session 1.5,Session 2.1,Session 2.5,Session 2.2,Session 2.3,Session 2.4,Session 3.4,Session 3.5,No preference,No preference,No preference,Session 4.2,Session 4.5,Session 4.4,Session 4.1,Session 4.3,Session 5.3,Session 5.2,Session 5.1,Session 5.4,Session 5.5,30/07/2019 16:52,30/07/2019 16:52,30/07/2019 16:52
203,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.4,Session 1.3,No preference,No preference,Session 2.4,No preference,No preference,No preference,No preference,Session 3.2,Session 3.3,Session 3.4,Session 3.1,Session 3.5,Session 4.5,Session 4.4,Session 4.3,No preference,No preference,Session 5.4,Session 5.2,Session 5.1,Session 5.3,Session 5.5,30/07/2019 16:52,30/07/2019 16:52,30/07/2019 16:52
204,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.1,Session 1.3,Session 1.5,Session 1.5,Session 2.4,Session 2.5,Session 2.4,Session 2.5,No preference,Session 3.1,Session 3.4,Session 3.5,Session 3.1,Session 3.4,Session 4.3,Session 4.4,Session 4.5,Session 4.3,Session 4.3,Session 5.2,Session 5.3,Session 5.2,Session 5.2,Session 5.3,30/07/2019 16:48,30/07/2019 16:48,30/07/2019 16:48
205,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.4,Session 1.5,Session 1.2,Session 2.5,Session 2.4,Session 2.2,Session 2.3,Session 2.1,Session 3.2,Session 3.1,Session 3.3,Session 3.4,Session 3.5,Session 4.4,Session 4.3,Session 4.1,Session 4.5,Session 4.2,Session 5.1,Session 5.4,Session 5.2,Session 5.5,Session 5.3,30/07/2019 16:37,30/07/2019 16:37,30/07/2019 16:37
206,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.5,Session 1.1,Session 1.3,Session 1.4,Session 2.4,Session 2.5,Session 2.1,Session 2.3,Session 2.2,Session 3.2,Session 3.1,Session 3.3,Session 3.5,Session 3.4,Session 4.2,Session 4.4,Session 4.5,Session 4.3,Session 4.1,Session 5.1,Session 5.4,Session 5.5,Session 5.2,Session 5.3,30/07/2019 16:35,30/07/2019 16:35,30/07/2019 16:35
207,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.4,Session 1.1,Session 1.2,Session 1.5,Session 2.5,Session 2.4,Session 2.1,Session 2.3,Session 2.2,Session 3.5,Session 3.4,Session 3.3,Session 3.2,Session 3.1,Session 4.5,Session 4.1,Session 4.2,Session 4.3,Session 4.4,Session 5.2,Session 5.1,Session 5.5,Session 5.4,Session 5.3,30/07/2019 16:35,30/07/2019 16:35,30/07/2019 16:35
208,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.2,Session 1.5,Session 2.3,Session 2.5,Session 2.1,Session 2.2,Session 2.4,Session 3.1,Session 3.3,Session 3.4,Session 3.5,Session 3.3,Session 4.4,Session 4.5,Session 4.3,Session 4.1,Session 4.2,Session 5.3,Session 5.2,Session 5.4,Session 5.1,Session 5.5,30/07/2019 16:26,30/07/2019 16:26,30/07/2019 16:26
209,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.1,Session 1.4,Session 1.5,Session 2.1,Session 2.4,Session 2.5,Session 2.3,Session 2.2,Session 3.1,Session 3.3,Session 3.2,Session 3.4,Session 3.5,Session 4.4,Session 4.3,Session 4.5,Session 4.1,Session 4.2,Session 5.4,Session 5.5,Session 5.2,Session 5.1,Session 5.3,30/07/2019 16:25,30/07/2019 16:25,30/07/2019 16:25
210,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 2.2,Session 2.1,Session 2.5,Session 2.3,Session 2.4,Session 3.5,Session 3.2,Session 3.3,Session 3.4,Session 3.1,Session 4.4,Session 4.1,Session 4.3,Session 4.2,Session 4.5,Session 5.2,Session 5.5,Session 5.1,Session 5.4,Session 5.3,30/07/2019 16:24,30/07/2019 16:24,30/07/2019 16:24
